Project,Package,Module,Smell,Class,Line no,File,Description
backend,backend.auth.email_verification.tests,test_email_verification,Multifaceted abstraction,test_email_verification,1,C:\Users\Adity\Downloads\group02\backend\auth\email_verification\tests\test_email_verification.py,"Class 'test_email_verification' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.auth.logout.tests,test_logout,Multifaceted abstraction,test_logout,1,C:\Users\Adity\Downloads\group02\backend\auth\logout\tests\test_logout.py,"Class 'test_logout' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.auth.password_reset.tests,test_password_reset,Multifaceted abstraction,test_password_reset,1,C:\Users\Adity\Downloads\group02\backend\auth\password_reset\tests\test_password_reset.py,"Class 'test_password_reset' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.auth.register.tests,test_register,Multifaceted abstraction,test_register,1,C:\Users\Adity\Downloads\group02\backend\auth\register\tests\test_register.py,"Class 'test_register' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.chat.tests.router,test_chat_router,Multifaceted abstraction,test_chat_router,1,C:\Users\Adity\Downloads\group02\backend\chat\tests\router\test_chat_router.py,"Class 'test_chat_router' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.chat.tests.service.context,test_chat_service_context,Multifaceted abstraction,test_chat_service_context,1,C:\Users\Adity\Downloads\group02\backend\chat\tests\service\context\test_chat_service_context.py,"Class 'test_chat_service_context' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.chat.tests.service.llm,test_chat_service_llm,Multifaceted abstraction,test_chat_service_llm,1,C:\Users\Adity\Downloads\group02\backend\chat\tests\service\llm\test_chat_service_llm.py,"Class 'test_chat_service_llm' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.chat.tests.service.quick_actions,test_chat_service_quick_actions,Multifaceted abstraction,test_chat_service_quick_actions,1,C:\Users\Adity\Downloads\group02\backend\chat\tests\service\quick_actions\test_chat_service_quick_actions.py,"Class 'test_chat_service_quick_actions' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.chat.tests.service.sessions,test_chat_service_sessions,Multifaceted abstraction,test_chat_service_sessions,1,C:\Users\Adity\Downloads\group02\backend\chat\tests\service\sessions\test_chat_service_sessions.py,"Class 'test_chat_service_sessions' has a high LCOM value of 1, indicating it may have multiple responsibilities."
backend,backend.chat.tests.service.utils,chat_service_test_utils,Multifaceted abstraction,chat_service_test_utils,1,C:\Users\Adity\Downloads\group02\backend\chat\tests\service\utils\chat_service_test_utils.py,"Class 'chat_service_test_utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
