Project,Package,Module,Class,Smell,Method,Line no,File,Description
backend,backend,main,,Long statement,,37,C:\Users\Adity\Downloads\group02\backend\main.py,A line with 221 chars in main exceeds the maximum length of 120 characters.
backend,backend,main,,Long statement,,66,C:\Users\Adity\Downloads\group02\backend\main.py,A line with 131 chars in main exceeds the maximum length of 120 characters.
backend,backend.alembic,env,,Long statement,run_migrations_offline,37,C:\Users\Adity\Downloads\group02\backend\alembic\env.py,A line with 338 chars in run_migrations_offline exceeds the maximum length of 120 characters.
backend,backend.alembic,env,,Long statement,run_migrations_online,61,C:\Users\Adity\Downloads\group02\backend\alembic\env.py,A line with 144 chars in run_migrations_online exceeds the maximum length of 120 characters.
backend,backend.auth.models,user_models,User,Long statement,to_dict,39,C:\Users\Adity\Downloads\group02\backend\auth\models\user_models.py,A line with 288 chars in to_dict exceeds the maximum length of 120 characters.
backend,backend.auth.password_reset.tests,test_password_reset,,Long statement,test_forgot_password_and_reset,29,C:\Users\Adity\Downloads\group02\backend\auth\password_reset\tests\test_password_reset.py,A line with 123 chars in test_forgot_password_and_reset exceeds the maximum length of 120 characters.
backend,backend.auth.repositories,user_repository,UserRepository,Long statement,create_user,21,C:\Users\Adity\Downloads\group02\backend\auth\repositories\user_repository.py,A line with 195 chars in create_user exceeds the maximum length of 120 characters.
backend,backend.auth.utils,auth,,Long statement,get_current_user,20,C:\Users\Adity\Downloads\group02\backend\auth\utils\auth.py,A line with 154 chars in get_current_user exceeds the maximum length of 120 characters.
backend,backend.chat.models,chat_models,ChatSession,Long statement,to_dict,49,C:\Users\Adity\Downloads\group02\backend\chat\models\chat_models.py,A line with 209 chars in to_dict exceeds the maximum length of 120 characters.
backend,backend.chat.models,chat_models,ChatSession,Long statement,__repr__,61,C:\Users\Adity\Downloads\group02\backend\chat\models\chat_models.py,A line with 131 chars in __repr__ exceeds the maximum length of 120 characters.
backend,backend.chat.models,chat_models,ChatMessage,Long statement,to_dict,88,C:\Users\Adity\Downloads\group02\backend\chat\models\chat_models.py,A line with 128 chars in to_dict exceeds the maximum length of 120 characters.
backend,backend.chat.models,chat_models,,Long statement,,2,C:\Users\Adity\Downloads\group02\backend\chat\models\chat_models.py,A line with 214 chars in chat_models exceeds the maximum length of 120 characters.
backend,backend.chat.routers,chat_router,,Long statement,start_chat_session,60,C:\Users\Adity\Downloads\group02\backend\chat\routers\chat_router.py,A line with 360 chars in start_chat_session exceeds the maximum length of 120 characters.
backend,backend.chat.routers,chat_router,,Long statement,start_chat_session,73,C:\Users\Adity\Downloads\group02\backend\chat\routers\chat_router.py,A line with 137 chars in start_chat_session exceeds the maximum length of 120 characters.
backend,backend.chat.routers,chat_router,,Long statement,send_chat_message,92,C:\Users\Adity\Downloads\group02\backend\chat\routers\chat_router.py,A line with 159 chars in send_chat_message exceeds the maximum length of 120 characters.
backend,backend.chat.routers,chat_router,,Long statement,stream_chat_message,115,C:\Users\Adity\Downloads\group02\backend\chat\routers\chat_router.py,A line with 310 chars in stream_chat_message exceeds the maximum length of 120 characters.
backend,backend.chat.routers,chat_router,,Long statement,explain_task_endpoint,169,C:\Users\Adity\Downloads\group02\backend\chat\routers\chat_router.py,A line with 230 chars in explain_task_endpoint exceeds the maximum length of 120 characters.
backend,backend.chat.routers,chat_router,,Long statement,get_suggestions,191,C:\Users\Adity\Downloads\group02\backend\chat\routers\chat_router.py,A line with 121 chars in get_suggestions exceeds the maximum length of 120 characters.
backend,backend.chat.routers,chat_router,,Long statement,,2,C:\Users\Adity\Downloads\group02\backend\chat\routers\chat_router.py,A line with 608 chars in chat_router exceeds the maximum length of 120 characters.
